grsItemDispAuth,grsItemTitle,grsItemDescription,grsItemRetention,grsItemDateApproved,grsItemRevision,grsItemCategories
GRS-211,Personal property and vehicle tax notice,"This is a notice sent to taxpayers for personal property or vehicle taxes. It includes name, address, identification number, property description, quantity, taxable value, total personal property value, tax rate, tax amount, any interest due on taxes, total tax amount, balance due, and a date payable. Upon payment of taxes and validation, the tax notice becomes the personal property receipt.","Retain for 3 years, and then destroy records.",1991-06-01,Current,Assessor
GRS-402,Senior center meal reservation list,"This list records reservations made for meals served at senior centers. It is used for meal planning and to create reports. The form includes center's name, dates, participant's names, days of week, indication of dates reservations made, whether meal served, and whether individual is a volunteer.","Retain for 1 year after final action, and then destroy records.",1992-12-01,Current,Aging and Adult Services
GRS-564,"Hotels, motels, resorts, and labor camps inspection report","This state report form documents health inspections of all hotels, motels, resorts, and labor camps. Any deficiencies discovered in the inspection must be corrected before next routine inspection or a specified period or facility could be closed until work is completed. The report form includes establishment's name, establishment type, city, county, lodging unit numbers, secondary water source, on-site sewage disposal type, owner's name and address, health district, lessee's name and address, inspection type (routine, complaint, construction inspection, request, follow-up inspection, pre-opening inspection, survey, and other), and results of inspection concerning water supply, wastewater disposal, service buildings or restroom facilities, housing, laundry facilities, swimming or wading facilities, solid waste, and specific remarks, date, and signatures of the owner or representative and sanitarian.","Retain for 3 years, and then destroy records.",1992-12-01,Current,Health
GRS-403,Senior center food delivery report,"This is a report on the condition of foods delivered to senior centers. It is used for compiling reports and for future planning. The report includes center name, date, time food arrived at center, temperatures for milk and hot and cold foods, homebound and congregate meals, time homebound meals left kitchen, a list of any missing items, a list of any additional foods, any comments from center staff and clients, and suggestions.","Retain until completion of publication or report, and then destroy records.",1992-12-01,Current,Aging and Adult Services
GRS-419,Senior centers' monthly report,"This is a monthly report on senior center activities. It is used to compile quarterly reports for the State Division of Aging Services. This report includes senior center name, date, actual service units provided, service (general category access service, in-home, community service, other services, meals, and transportation), year-to-date budget, actual budget, and current budget.","Retain for 4 years after completion of publication or report, and then destroy records.",1992-12-01,Current,Aging and Adult Services
GRS-530,Capital outlay detail statement,"This is a monthly report submitted by the local health department to the state Department of Health listing the amounts spent for capital outlay on state contracts. It includes the local health department's name, the reporting period, payee's name, the contract or program where the outlay was made, and expenditure amount.","Retain for 3 years after final action, and then destroy records.",1992-12-01,Current,Health
GRS-569,Immunization personal exemption record,"This is a statewide form provided by the Department of Health to all local health departments. It is used by parents to claim a personal exemption based on a personal belief opposed to immunization in accordance with Utah Code 53G-9-304(2019). This form must be completed annually to receive continued recognition of the personal exemption. It includes a statement claiming exemption from immunization, parent or guardian's name and signature, address, date, name of child/student exempted, date, school or child care facility's name, witness's signature, title, and date.","Retain until 21 years after date of birth, and then destroy records.",1992-12-01,Current,Health
GRS-426,Volunteer calendar,This calendar documents the scheduling of volunteers at the senior centers. It is a monthly calendar containing notations indicating volunteer's name and specific times scheduled to work at center.,"Retain for 1 year, and then destroy records.",1992-12-01,Current,Aging and Adult Services
GRS-561,Food service establishment inspection reports,"These are reports on inspections of food service establishments to ensure that proper methods of food preparation and sanitation are followed. These inspections are authorized under UCA 26-15a-107 (2008), 26A-1-113 (2011), 26A-1-114(1)(g) (2011). These reports include the name and address of the owner; name of the establishment; inspection purpose (follow-up, regular, etc); the date by which identified violations must be corrected; inspector's comments; and results of the inspection of food, food protection, personnel, food equipment and utensils, water, wastewater, plumbing, toilet and hand washing facilities, solid waste disposal, insect/rodent/animal control, floors, walls, and ceilings, lighting, ventilation, dressing rooms, other operations, living quarters/laundry; the rating score; and inspector's name.","Retain for 4 years, and then destroy records.",1992-12-01,Current,Health
GRS-595,Recreational camps and temporary mass gathering inspection reports,"These report forms document the inspection of recreational camps and temporary mass gatherings. The form includes the identification number, facility type, day use area, indication whether camp is modern, semi-developed, semi-primitive and if camp is operated by federal, state, county, city governments, church, youth, private, or other; facility name, camp's maximum capacity, number of dependent/independent/self-contained spaces, number of cabins or shelters used for sleeping purposes; secondary water source and whether it is for outside use; whether camp is on a sampling schedule; whether a water sample was taken at time of inspection; on-site sewage disposal type; whether food service inspection made and inspection report attached; whether a person is trained to render first-aid; owner's or operator's name; local health department's name; whether a permit is needed; for operations; inspection type (e.g., routine, complaint), report of inspection on site, water supply, waste water dis posal, service buildings, housing, swimming or wading facilities, solid waste, and first aid facilities; any applicable remarks; date; operator's or representative's signature, and signature of sanitarian. All deficiencies must be corrected before next inspection or specified period or facility could be closed for noncompliance (UCA 26A-1-114(1)(g) (2011)).","Retain for 3 years, and then destroy records.",1992-12-01,Current,Health
